id,species,height,dbh,lat,lng,condition
290,Deciduous,9,7.62,52.362094,4.88564,fair
291,Deciduous,24,20.32,52.359046,4.890043,fair
292,Deciduous,6,2.54,52.35873,4.890204,excellent
293,Deciduous,9,7.62,52.359113,4.89778,fair
294,Deciduous,9,7.62,52.358875,4.897882,good
295,Deciduous,9,7.62,52.358694,4.897964,good
296,Deciduous,6,2.54,52.361729,4.900492,fair
297,Deciduous,9,5.08,52.361352,4.89029,good
298,Deciduous,6,2.54,52.36118,4.89745,fair
299,Deciduous,6,2.54,52.365949,4.896106,good
300,Deciduous,6,2.54,52.358801,4.891175,excellent
301,Deciduous,6,2.54,52.363035,4.899592,fair
302,Deciduous,6,2.54,52.363005,4.89943,excellent
303,Deciduous,6,2.54,52.363024,4.899534,fair
304,Deciduous,6,2.54,52.362984,4.899323,good
305,Deciduous,6,2.54,52.362974,4.89927,excellent
306,Deciduous,15,10.16,52.359956,4.899707,excellent
307,Deciduous,9,7.62,52.362032,4.89734,good
308,Deciduous,15,10.16,52.362505,4.897364,excellent
309,Deciduous,9,7.62,52.362127,4.897421,fair
310,Deciduous,9,7.62,52.362054,4.89746,good
311,Deciduous,9,7.62,52.362526,4.897481,excellent
312,Deciduous,9,7.62,52.362151,4.89756,fair
313,Deciduous,9,7.62,52.362077,4.89759,good
314,Deciduous,9,7.62,52.362549,4.897604,excellent
315,Deciduous,9,7.62,52.36217,4.897669,fair
316,Deciduous,9,7.62,52.362097,4.897702,good
317,Deciduous,9,7.62,52.362192,4.8978,excellent
318,Deciduous,15,10.16,52.361593,4.885555,good
319,Deciduous,15,10.16,52.362621,4.89757,good
320,Deciduous,15,10.16,52.362649,4.897716,excellent
321,Deciduous,9,7.62,52.36212,4.897832,fair
322,Deciduous,15,10.16,52.362488,4.89784,good
323,Deciduous,9,7.62,52.36241,4.897877,excellent
324,Deciduous,9,7.62,52.362327,4.897916,fair
325,Deciduous,9,7.62,52.362143,4.897955,good
326,Deciduous,15,10.16,52.362511,4.897957,excellent
327,Deciduous,9,7.62,52.362219,4.897967,fair
328,Deciduous,9,7.62,52.361884,4.896506,good
329,Deciduous,9,7.62,52.362673,4.897852,good
330,Deciduous,15,10.16,52.362554,4.897215,excellent
331,Deciduous,15,10.16,52.362574,4.897325,fair
332,Deciduous,15,10.16,52.362583,4.897792,good
333,Deciduous,15,10.16,52.362591,4.897919,excellent
334,Deciduous,15,10.16,52.362596,4.897442,fair
335,Deciduous,9,7.62,52.361912,4.89667,good
336,Deciduous,9,5.08,52.361943,4.896837,excellent
337,Deciduous,9,7.62,52.361972,4.897004,fair
338,Deciduous,9,7.62,52.362,4.897167,good
339,Deciduous,9,7.62,52.362093,4.896438,excellent
340,Deciduous,9,7.62,52.362119,4.896597,fair
341,Deciduous,15,10.16,52.362148,4.896751,good
342,Deciduous,15,10.16,52.362178,4.896901,excellent
343,Deciduous,9,7.62,52.3622,4.897219,fair
344,Deciduous,15,10.16,52.359897,4.900296,good
345,Deciduous,15,10.16,52.360038,4.900445,excellent
346,Deciduous,18,12.7,52.360042,4.900317,fair
347,Deciduous,18,12.7,52.36006,4.900204,good
348,Deciduous,18,12.7,52.360162,4.900147,excellent
349,Deciduous,9,7.62,52.362204,4.897054,fair
350,Deciduous,9,7.62,52.362282,4.89718,good
351,Deciduous,15,10.16,52.36238,4.897122,excellent
352,Deciduous,15,10.16,52.362452,4.897087,fair
353,Deciduous,15,10.16,52.362486,4.897253,good
354,Deciduous,15,10.16,52.362524,4.897057,excellent
355,Deciduous,15,10.16,52.36058,4.887764,fair
356,Deciduous,15,10.16,52.360623,4.887672,good
357,Deciduous,15,10.16,52.360198,4.900073,excellent
358,Deciduous,18,12.7,52.360213,4.899976,fair
359,Deciduous,15,10.16,52.360298,4.899827,good
360,Deciduous,18,12.7,52.360217,4.899861,excellent
361,Deciduous,15,10.16,52.360114,4.899514,fair
362,Deciduous,15,10.16,52.360188,4.899584,good
363,Deciduous,18,12.7,52.3609,4.886887,excellent
364,Deciduous,15,10.16,52.360791,4.887297,fair
365,Deciduous,15,10.16,52.36085,4.887175,good
366,Deciduous,15,10.16,52.360677,4.898194,excellent
367,Deciduous,15,10.16,52.360221,4.899704,fair
368,Deciduous,15,10.16,52.360027,4.899524,good
369,Deciduous,15,10.16,52.359981,4.899463,excellent
370,Deciduous,15,10.16,52.359939,4.899408,fair
371,Deciduous,15,10.16,52.359898,4.899327,good
372,Deciduous,15,10.16,52.359836,4.899382,excellent
373,Deciduous,15,10.16,52.359875,4.899452,fair
374,Deciduous,15,10.16,52.359905,4.899527,good
375,Deciduous,15,10.16,52.359909,4.899885,excellent
376,Deciduous,15,10.16,52.35994,4.900096,fair
377,Deciduous,15,10.16,52.359978,4.900168,good
378,Deciduous,15,10.16,52.359968,4.900257,excellent
379,Deciduous,15,10.16,52.359949,4.900347,fair
380,Deciduous,9,7.62,52.362433,4.897994,fair
381,Deciduous,9,7.62,52.362347,4.898039,good
382,Deciduous,9,7.62,52.362267,4.898074,excellent
383,Deciduous,9,7.62,52.362167,4.898091,fair
384,Deciduous,6,2.54,52.360291,4.89903,good
385,Deciduous,9,7.62,52.360848,4.899307,fair
386,Deciduous,15,10.16,52.363018,4.885539,excellent
387,Deciduous,9,7.62,52.360782,4.899073,fair
388,Deciduous,18,12.7,52.360141,4.898804,fair
389,Deciduous,18,12.7,52.360181,4.898609,good
390,Deciduous,9,5.08,52.360693,4.898375,excellent
391,Deciduous,15,10.16,52.358815,4.894934,fair
392,Deciduous,15,10.16,52.358799,4.895219,excellent
393,Deciduous,15,10.16,52.358781,4.895541,fair
394,Deciduous,15,10.16,52.358763,4.895849,good
395,Deciduous,15,10.16,52.358832,4.894686,fair
396,Deciduous,15,10.16,52.358863,4.894142,excellent
397,Deciduous,15,10.16,52.35888,4.893859,fair
398,Deciduous,15,10.16,52.358894,4.893571,good
399,Deciduous,9,7.62,52.358905,4.893371,excellent
400,Deciduous,15,10.16,52.358922,4.893079,fair
401,Deciduous,15,10.16,52.358849,4.894407,good
402,Deciduous,6,2.54,52.361331,4.900818,fair
403,Deciduous,6,2.54,52.361342,4.900875,good
404,Deciduous,6,2.54,52.363074,4.899796,good
405,Deciduous,6,2.54,52.363085,4.899855,excellent
406,Deciduous,6,2.54,52.361446,4.898869,good
407,Deciduous,6,2.54,52.361452,4.898908,fair
408,Deciduous,6,2.54,52.361525,4.899417,good
409,Deciduous,9,7.62,52.359491,4.888629,good
410,Deciduous,15,10.16,52.358867,4.889542,excellent
411,Deciduous,15,10.16,52.359833,4.888281,good
412,Deciduous,15,10.16,52.359989,4.888111,excellent
413,Deciduous,15,10.16,52.360193,4.888087,fair
414,Deciduous,6,2.54,52.360668,4.900655,fair
415,Evergreen,24,17.78,52.35961,4.887273,fair
416,Deciduous,9,5.08,52.361333,4.895878,excellent
417,Deciduous,9,5.08,52.365919,4.894634,excellent
418,Deciduous,9,5.08,52.365903,4.894747,fair
419,Deciduous,9,5.08,52.365949,4.894403,good
